Model,Technology,Materials,Brand,Build Size
Wanhao Duplicator 4S,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +2 materials",Wanhao,225 x 145 x 150 mm 
Wanhao Duplicator 5S Mini,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +1 materials",Wanhao,305 x 205 x 175 mm 
Fantasy Pro II,FDM (Fused Deposition Modeling),ABS,EcubMaker,300 x 200 x 200 mm 
Uncia DLP,DLP (Digital Light Processing),Resin,Uncia,102 x 77 x 170 mm 
Zcorp,CJP (ColorJet Printing),Full-color sandstone (VisiJet PXL),3D Systems,254 x 381 x 203 mm 
X350pro,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +9 materials",German RepRap,350 x 200 x 210 mm 
Delta Go,FDM (Fused Deposition Modeling),"PLA, ABS",Deltaprintr,81.3 x 81.3 x 127 
Perfactory Micro EDU,DLP (Digital Light Processing),Resin,EnvisionTec,100 x 75 x 100 mm 
LittleRP,SLA (Stereolithography),"Resin, Flexible Resin",LittleRP,60 x 40 x 100 mm 
Afinia H480,FDM (Fused Deposition Modeling),ABS,Afinia 3D,140 x 140 x 135 mm 
Fortus 360mc,FDM (Fused Deposition Modeling),"ABS-M30, Polycarbonate (PC)",Stratasys,355 x 254 x 254 mm 
iPro 8000,SLA (Stereolithography),Resin,3D Systems,650 x 750 x 550 mm 
Viper SI2,SLA (Stereolithography),Resin,3D Systems,250 x 250 x 250 mm 
Eden 250,PolyJet and PolyJetMatrix,"Vero, Durus",Stratasys,250 x 250 x 200 mm 
3DP1000,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +2 materials",3DP,1000 x 1000 x 500 mm 
Rostock,FDM (Fused Deposition Modeling),"PLA, Wood PLA, Chameleon PLA (Thermochromic) and +1 materials",RepRap,141 x 141 x 400 mm 
Ultimaker 3,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +14 materials",Ultimaker,215 x 215 x 200 mm 
Accucraft i250+,FDM (Fused Deposition Modeling),"PLA, ABS, HIPS and +2 materials",Divide by zero technology,300 x 250 x 200 mm 
Accucraft i250D,FDM (Fused Deposition Modeling),"PLA, ABS, HIPS and +2 materials",Divide by zero technology,200 x 250 x 200 mm 
FlyingBear 3D Printer P902,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +4 materials",FlyingBear,220 x 220 x 280 mm 
Finder,FDM (Fused Deposition Modeling),"PLA, Rubber-like (TPU)",FlashForge,140 x 140 x 140 mm 
BigBox Pro,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",E3D,300 x 200 x 300 mm 
TRIUM DELTA 3D PRINTER,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +1 materials",TRIUM,155 x 155 x 220 mm  
SheePEM CNC machine,FDM (Fused Deposition Modeling),"PVA, PLA, ABS",SheePEM,390 x 180 x 200 mm 
Wanhao Duplicator 6,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +4 materials",Wanhao,200 x 200 x 180 mm 
Wanhao Duplicator I3 PLUS,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +11 materials",Wanhao,200 x 200 x 180 mm 
Araknia Bolt,FDM (Fused Deposition Modeling),"PLA, PETG",Stampanti 3D,100 x 100 x 130 mm 
Araknia Prusa i3,FDM (Fused Deposition Modeling),"PLA, ABS",Stampanti 3D,210 x 210 x 210 mm 
Araknia Prusa i3 A2,FDM (Fused Deposition Modeling),"PLA, ABS",Stampanti 3D,200 x 200 x 200 mm 
Araknia Two Rails,FDM (Fused Deposition Modeling),"PLA, ABS, PETG",Stampanti 3D,210 x 210 x 210 mm 
Araknia Mycra,FDM (Fused Deposition Modeling),PLA,Stampanti 3D,100 x 100 x 130 mm 
TEVO Tarantula I3,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +7 materials",TEVO,200 x 200 x 200 mm 
Lulzbot Taz 6,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +19 materials",LulzBot,280 x 280 x 250 mm 
Qidi Tech I,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +13 materials",Qidi Tech,230 x 150 x 150 mm 
BigRep One,FDM (Fused Deposition Modeling),"PLA, FLEX (Elastic TPE), Rubber-like (TPU) and +1 materials",BigRep,1005 x 1005 x 1005 mm 
Apium P 155,FDM (Fused Deposition Modeling),Ultem (PEI) 1010,Apium,145 x 135 x 148 mm 
Afinia H800+,FDM (Fused Deposition Modeling),"PLA, ABS, FLEX (Elastic TPE)",Afinia,255 x 205 x 205 mm 
DTM Sinterstation 2500 Plus,SLS (Selective Laser Sintering),"DuraForm PA Plastic, DuraForm GF, Stainless Steel 420 Bronze Infused",DTM,380 x 330 x 450 mm 
BoXZY,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",BoXZY,165 x 165 x 165 mm. 
FolgerTech FT5,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +8 materials",Folger Tech,300 x 300 x 400 mm 
Northworks 300x,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",Northworks Automation,300 x 300 x 300 mm 
Northworks 600x,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",Northworks Automation,600 x 600 x 900 mm 
da Vinci Mini,FDM (Fused Deposition Modeling),PLA,XYZPrinting,150 x 150 x 150 mm 
BEETHEFIRST,FDM (Fused Deposition Modeling),PLA,BEEVERYCREATIVE,190 x 135 x 125 mm 
BEETHEFIRST+,FDM (Fused Deposition Modeling),"PLA, Nylon, FLEX (Elastic TPE)",BEEVERYCREATIVE,190 x 135 x 125 mm 
HelloBEEPrusa,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +3 materials",BEEVERYCREATIVE,185 x 200 x 190 mm 
Hephestos 2,FDM (Fused Deposition Modeling),"PLA, Bronze PLA, Wood PLA",BQ,210 x 297 x 220 mm 
UP mini,FDM (Fused Deposition Modeling),"PLA, ABS",UP3D,120 x 120 x 120 mm 
Dragon,FDM (Fused Deposition Modeling),"PLA, ABS, PETG  and +1 materials",WINBO,610 x 458 x 610 mm 
Cetus,FDM (Fused Deposition Modeling),"PLA, Heat Treatable PLA (HTPLA)",Cetus3D,180 x 180 x 180 mm 
Duplicator D7,DUP (LCD-based Direct UV Printing),"Resin, Tough Resin, Flexible Resin",Wanhao,120 x 68 x 200 mm 
Formbot T Rex 2,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +1 materials",Formbot,400 x 400 x 700 mm 
Renkforce RF1000,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +2 materials",Conrad,230 x 245 x 200 mm 
DiscoEasy200,FDM (Fused Deposition Modeling),PLA,DAGOMA,200 x 200 x 200 mm 
Scalar XL,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",3DModularSystems,400 x 300 x 350 mm 
BQ Witbox,FDM (Fused Deposition Modeling),"PLA, ABS, Bronze PLA and +1 materials",BQ,297 x 210 x 200 mm 
Creality CR-10,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +21 materials",Creality,300 x 300 x 400 mm 
Maker Select V2,FDM (Fused Deposition Modeling),"PLA, ABS, Bronze PLA and +5 materials",Monoprice,205 x 205 x 180 mm 
Cubicon 3DP-310F,FDM (Fused Deposition Modeling),"PLA, ABS, FLEX (Elastic TPE)",Cubicon,240 x 190 x 200 mm 
Cubicon 3DP-110DS,DLP (Digital Light Processing),"Resin, Castable Resin",Cubicon,100 x 75 x 145 mm 
Select Mini,FDM (Fused Deposition Modeling),"PVA, PLA, ABS",Monoprice,120 x 120 x 120 mm 
One Up,FDM (Fused Deposition Modeling),PLA,QU-BD,100 x 100 x 125 mm 
The Bibo 2 Touch,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +3 materials",Bibo,214 x 186 x 160 mm 
Prism Pro,FDM (Fused Deposition Modeling),"PLA, ABS, HIPS",3Dquality,280 x 280 x 800 mm 
Anet A8,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +9 materials",Anet 3D,220 x 220 x 240 mm 
Mytrix Dreamweaver 3735 Duo,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +3 materials",Mytrix Technology,200 x 200 x 300 mm 
Robo 3D C2,FDM (Fused Deposition Modeling),"PLA, ABS, Bronze PLA",Robo 3D,127 x 127 x 152 mm 
Robobeast 3D,FDM (Fused Deposition Modeling),PLA,Robobeast,300 x 320 x 385 mm 
Dimension Duel Delta,FDM (Fused Deposition Modeling),"PLA, ABS",J Group Robotics,250 x 250 x 300 mm 
MTW Create,FDM (Fused Deposition Modeling),"PLA, ABS, FLEX (Elastic TPE)",Maker’s Tool Works,250 x 315 x 250 mm 
Alunar M505,FDM (Fused Deposition Modeling),"PVA, PLA, ABS",Alunar,220 x 220 x 240 mm 
FLSUN Delta 20x20,FDM (Fused Deposition Modeling),"PLA, ABS, FLEX (Elastic TPE)",FLSUN3D,127 x 127 x 300 mm 
HE3D K200,FDM (Fused Deposition Modeling),"PVA, PLA, ABS",RepRap,140 x 140 x 300 mm 
Wombot Modus,FDM (Fused Deposition Modeling),"PLA, Bronze PLA, HIPS and +1 materials",Wombot,400 x 400 x 500 mm 
UP mini 2,FDM (Fused Deposition Modeling),"PLA, ABS",Tiertime,120 x 120 x 120 mm 
UP Plus 2,FDM (Fused Deposition Modeling),"PLA, ABS, Color-Blending PLA",Tiertime,140 x 140 x 135 mm 
DWS Xfab,SLA (Stereolithography),"Resin, WaterClear Resin, Durable (PP-like) Resin and +3 materials",DWS LAB,128 x 128 x 180 mm 
KREATOR Motion,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +2 materials",3DKreator,200 x 200 x 190 mm 
Vector 3,FDM (Fused Deposition Modeling),"PLA, ABS",Eaglemoss,140 x 140 x 135 mm 
Afinibot A31,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +1 materials",Afinibot,300 x 300 x 400 mm 
PrimaCreator P120,FDM (Fused Deposition Modeling),"PLA, ABS, HIPS",3D Prima,120 x 120 x 120 mm 
Stratasys F370,FDM (Fused Deposition Modeling),"PLA, ABS, ABS-M30",Stratasys,355 x 254 x 355 mm 
JGAURORA Desktop 3D Printer,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",JGAURORA,280 x 280 x 180 mm 
Tevo Little Monster,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +3 materials",TEVO,340 x 340 x 500 mm 
Vector 3SP,SLA (Stereolithography),"Resin, Tough Resin, WaterClear Resin",EnvisionTec,300 x 200 x 275 mm 
Perfactory Vida,SLA (Stereolithography),"Resin, Dental SG Resin",EnvisionTec,140 x 79 x 100 mm 
Micro Plus Advantage,SLA (Stereolithography),"Resin, Castable Resin, Flexible Resin",EnvisionTec,65 x 40 x 100 mm 
ProJet MJP 5600,MJP (MultiJet Printing),"VisiJet CE Elastomeric, VisiJet CR-WT, VisiJet CR-CL",3D Systems,518 x 381 x 300 mm 
Creality CR-10-S5,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +25 materials",Creality,500 x 500 x 500 mm 
ROBO 3D R2,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +13 materials",Robo 3D,200 x 200 x  254 mm 
Moai,SLA (Stereolithography),"Resin, Castable Resin, Tough Resin and +3 materials",Peopoly,130 x 130 x 180 mm 
Witbox 2,FDM (Fused Deposition Modeling),"PLA, Bronze PLA, FLEX (Elastic TPE)",BQ,297 x 210 x 200 mm 
STARTT 3D Printer,FDM (Fused Deposition Modeling),PLA,STARTT,140 x 120 x 130 mm 
TronXY X1,FDM (Fused Deposition Modeling),"PLA, PETG",TronXY,150 x 150 x 150 mm 
Julia Plus,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",Fractalworks,210 x 250 x 260 mm 
MAKEiT Pro L,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +9 materials",MakeIt,305 x 254 x 330 mm 
MINGDA MD-6L,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",MINGDA,400 x 300 x 500 mm 
UP Box Plus,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +7 materials",Tiertime,255 x 205 x 205 mm 
Anycubic i3 Mega,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +18 materials",Anycubic,210 x 210 x 205 mm 
Impressora 3D Stella,FDM (Fused Deposition Modeling),"PLA, Nylon, FLEX (Elastic TPE)",Boa Impressão 3D,200 x 200 x 180 mm 
Fullscale XT Plus,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",Mankati,260 x 260 x 300 mm 
Additive AM1,FDM (Fused Deposition Modeling),"PLA, ABS, Polycarbonate (PC)",Cosine,1075 x 800 x 850 mm 
Liquid Crystal LC10,SLA (Stereolithography),"Resin, Castable Resin, Tough Resin",Photocentric 3D,200 x 100 x 200 mm 
Liquid Crystal LCHR,SLA (Stereolithography),"Resin, Castable Resin, Tough Resin",Photocentric 3D,196 x 147 x 250 mm 
Liquid Crystal LCPro,SLA (Stereolithography),"Resin, Castable Resin, Tough Resin",Photocentric 3D,470 x 240 x 340 mm 
Creality Ender 4,FDM (Fused Deposition Modeling),"PLA, ABS, FLEX (Elastic TPE)",Creality,220 x 220 x 300 mm 
CTC i3 pro B,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",CTC LTD,200 x 200 x 180 mm 
Prusa i3 MK2 Multi Material,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +17 materials",Prusa 3D,250 x 210 x 200 mm 
LeapFrog Bolt Pro,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +2 materials",LeapFrog,300 x 320 x 205 mm 
TronXY X3 / X3A,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",TronXY,220 x 220 x 300 mm 
Anet A6,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +5 materials",Anet 3D,220 x 220 x 250 mm 
Anet A2,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +1 materials",Anet 3D,220 x 220 x 220 mm 
FLSUN 3D Large Area,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +5 materials",FLSUN3D,260 x 260 x 350 mm 
SLM 280 HL,SLS (Selective Laser Sintering),"Cobalt-Chrome (CoCr), Stainless Steel 17-4 PH, Aluminium Alloy AlSi12",SLM Solutions,280 x 280 x 365 mm 
SLM125,SLS (Selective Laser Sintering),"Cobalt-Chrome (CoCr), Stainless Steel 17-4 PH, Aluminium Alloy AlSi12",SLM Solutions,125 x 125 x 125 
Markforged X7,FDM (Fused Deposition Modeling),"Carbon Fiber, Fiberglass, Onyx",Markforged,330 x 270 x 200 mm 
Onyx One,FDM (Fused Deposition Modeling),Onyx,Markforged,320 x 132 x 154 mm 
Onyx Pro,FDM (Fused Deposition Modeling),"Fiberglass, Onyx",Markforged,320 x 132 x 154 mm 
Sethi3D S3,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",Sethi3D,270 x 270 x 320 mm 
Sethi3D BB,FDM (Fused Deposition Modeling),"PLA, FLEX (Elastic TPE), PETG",Sethi3D,400 x 400 x 400 mm 
Sethi3D AiP,FDM (Fused Deposition Modeling),"PLA, ABS, FLEX (Elastic TPE)",Sethi3D,220 x 210 x 200 mm 
X1000,FDM (Fused Deposition Modeling),"PVA, PLA, Wood PLA and +3 materials",German RepRap,1000 x 800 x 600 mm 
X400 PRO,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +3 materials",German RepRap,390 x 400 x 320 mm 
T-1000 UV 3D Printer,SLA (Stereolithography),Resin,G3D,179.2 x 134.4 x 300 mm 
TronXY P802M,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +1 materials",TronXY,220 x 220 x 240 mm 
GiziMate 130 Super Speed,SLA (Stereolithography),"Resin, Dental SG Resin, Flexible Resin",Gizmo 3D Printers,200 x 113 x 130 mm 
GiziPro 130 Super Speed,SLA (Stereolithography),"Resin, Dental SG Resin, Flexible Resin",Gizmo 3D Printers,200 x 113 x 130 mm 
GiziMax 430 Super Speed,SLA (Stereolithography),"Resin, Dental SG Resin, Flexible Resin",Gizmo 3D Printers,200 x 113 x 430 mm 
Kossel,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",Anycubic,180 x 180 x 300 mm
Mlab Cusing,DMLS (Direct Metal Laser Sintering),"Cobalt-Chrome (CoCr), Stainless Steel 17-4 PH, Aluminium Alloy AlSi12",Concept Laser Machines,50 x 50 x 80 mm3
Ultibots D300VS+,FDM (Fused Deposition Modeling),,Ultibots,290 x 445
gMax 1.5 XT+,FDM (Fused Deposition Modeling),"PVA, PLA, ABS",gCreate,406.4 x 406.4 x 533.4 mm 
Zortrax M300,FDM (Fused Deposition Modeling),"PLA, ABS, ASA and +13 materials",Zortrax,300 x 300 x 300 mm 
HP Jet Fusion 3D 4200,MJF (MultiJet Fusion Technology),"PA11 Nylon, HP PA-12, PA-12 with Glass Beads",HP,380 x 284 x 380 mm 
Maker Ultimate,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +6 materials",Monoprice,200 x 200 x 175 mm 
X-one,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +1 materials",Qidi Tech,140 x 140 x 140 mm 
Mlab cusing 200R,DMLS (Direct Metal Laser Sintering),"Cobalt-Chrome (CoCr), Stainless Steel 17-4 PH, Aluminium Alloy AlSi12",Concept Laser Machines,100 x 100 x 100 mm 
M1 cusing,DMLS (Direct Metal Laser Sintering),"Cobalt-Chrome (CoCr), Stainless Steel 17-4 PH, Aluminium Alloy AlSi12",Concept Laser Machines,250 x 250 x 250 mm 
FlashForge Guider II,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +4 materials",FlashForge,250 x 280 x 300 mm 
JGAURORA A-3(with LCD screen) Kit,FDM (Fused Deposition Modeling),"PVA, PLA, ABS",JGAURORA,200 x 200 x 180 mm 
ZONESTAR D805S,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +1 materials",ZONESTAR Creation,220 x 220 x 220 mm 
Trinus,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +1 materials","Kodama, Inc.",120 x 125 x 100 mm 
Ultimaker 2 Extended+,FDM (Fused Deposition Modeling),"PVA, PLA, ABS",Ultimaker,223 x 223 x 305 mm 
TronXY X5S,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +12 materials",TronXY,330 x 330 x 400 mm 
TEVO Tornado,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +6 materials",TEVO,300 x 300 x 400 mm 
Anet E10,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +1 materials",Anet 3D,220 x 270 x 300 mm 
Makerbot Replicator +,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +1 materials",Makerbot,295 x 195 x 165 mm 
Velleman K8200,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +4 materials",Velleman,200 x 200 x 200 mm 
Z-Unlimited,FDM (Fused Deposition Modeling),"PLA, ABS, FLEX (Elastic TPE) and +5 materials",Ultimaker,170 x 180 x 1800 mm
da Vinci Color,FDM (Fused Deposition Modeling),3D Color-inkjet PLA,XYZPrinting,200 x 200 x 150 mm 
NEVA,FDM (Fused Deposition Modeling),PLA,DAGOMA,180 x 180 x 200 mm 
3Drag - 3D printer,FFF (Fused Filament Fabrication),"PVA, PLA, ABS",3Drag,200 x 200 x 200 mm
SLA600,SLA (Stereolithography),"Resin, Tough Resin, Somos WaterShed XC 11122",ZRapid Tech,600 x 600 x 300 mm
SLA450,SLA (Stereolithography),"Resin, Tough Resin, Somos WaterShed XC 11122",ZRapid Tech,450 x 450 x 300 mm
SLA660,SLA (Stereolithography),"Resin, Tough Resin, Somos WaterShed XC 11122",ZRapid Tech,600 x 600 x 300 mm
Creality Ender 2,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",Creality,150 x 150 x 200 mm
Original Prusa i3 MK3,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +51 materials",Prusa 3D,250 x 210 x 210 mm 
PowerSpec Ultra 3D Printer,FDM (Fused Deposition Modeling),"PVA, PLA, ABS",PowerSpec,230 x 150 x 140 mm 
Cetus MKII Extended,FDM (Fused Deposition Modeling),"PVA, PLA, ABS",Cetus3D,180 x 180 x 280 mm 
SIDL BIGBOX1500,FDM (Fused Deposition Modeling),PLA,SIDL,1400 x 900 x 800
da Vinci 1.1 Plus,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +4 materials",XYZPrinting,200 x 200 x 200 mm 
Ultimaker 3 Extended,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +15 materials",Ultimaker,215 x 215 x 300
Zonestar P802CR2,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +1 materials",ZONESTAR Creation,220 x 220 x 220
Select Mini V2,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +6 materials",Monoprice,120 x 120 x 120 mm
FLSUN 3D Metal Frame Prusa i3,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +9 materials",FLSUN3D,300 x 300 x 420 mm
Phrozen Make: LCD 3D Printer,DUP (LCD-based Direct UV Printing),Resin,Phrozen,120 x 68 x 140mm
Snapmaker 3-in-1 3D Printer,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +12 materials",Snapmaker,125 x 125 x 125 mm 
Cocoon Create Touchscreen 3D Printer HE161192,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +1 materials",WINPLUS,200 x 200 x 180mm.
Cocoon Create Model Maker HE170703,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +1 materials",WINPLUS,200 x 200 x 180mm.
Milkshake 3D,SLA (Stereolithography),"Resin, Castable Resin, Tough Resin",Milkshake3D,288 x 162 x 160mm.
D-Bot,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +18 materials",DIY,300 x 300 x 400 mm
Pulse XE - NylonX 3D Printer,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +24 materials",MatterHackers,250 x 220 x 215 mm
He3D K280 Mega Delta 3D Printer Kit,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +2 materials",He3D,280 x 280 x 600 mm
Original Prusa i3 MK2S,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +9 materials",Prusa 3D,250 x 210 x 200 mm
Creality CR-10Mini,FDM (Fused Deposition Modeling),"PLA, ABS, PET and +1 materials",Creality,300 x 220 x 300 mm
A5,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",JGAURORA,305 x 305 x 320 mm
Photon,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",Anycubic,115 x 65 x 155 mm
Evo-Lizer,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",Evo-Tech,270 x 200 x 210 mm
B9 Core 530,DLP (Digital Light Processing),"Resin, Castable Resin, Tough Resin and +2 materials",B9Creations,57.6 x 32.4 x 127 mm
Fuse 1,SLS (Selective Laser Sintering),PA12 Nylon,Formlabs,165 x 165 x 320 mm 
Lisa,SLS (Selective Laser Sintering),"PA12 Nylon, TPU powder, TPU Shore 45-56 A",Sinterit,150 x 200 x 150 mm 
MP Mini Delta,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA and +2 materials",Monoprice,110 x 110 x 120 mm
Obsidian,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +3 materials","Kodama, Inc.",120 x 120 x 120 mm 
The MOOZ,FDM (Fused Deposition Modeling),"PLA, ABS, FLEX (Elastic TPE)",DOBOT,130 × 130 × 130 mm
CR-10-S4,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA and +2 materials",Creality,400 x 400 x 400 mm 
Optimus Delta Printer,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",Febtop Tech,240  x 240 x 300 mm
Flashforge Hunter,DLP (Digital Light Processing),"Resin, Castable Resin, Tough Resin",FlashForge,120 mm × 67.5 mm × 150 mm 
The BLACKBELT 3D Printer,FDM (Fused Deposition Modeling),"PLA, ABS, PETG",BlackBelt 3D BV,340 × 340 ×  ∞ mm 
Wanhao Duplicator 9/300,FDM (Fused Deposition Modeling),"PVA, PLA, ABS",Wanhao,300 x 300 x 400 mm
FLSUN-QQ,FDM (Fused Deposition Modeling),"PLA, ABS, Rubber-like (TPU)",FLSUN3D,260 x 260 x 370 mm
Original Prusa i3 MK3 Multi Material,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +12 materials",Prusa 3D,250 x 210 x 210 mm 
Micromake L2,DLP (Digital Light Processing),"Resin, Castable Resin, Tough Resin",Micromake,108 x 68 x 200 mm
miniFactory 3 Education,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +6 materials",Minifactory,150 x 150 x 150 mm
Maker Select Plus,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +5 materials",Monoprice,200 x 200 x 180 mm 
FELIX Pro 2 Touch,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +3 materials",FELIXprinters,237 x 244 x 235 mm
Agnee P4,FDM (Fused Deposition Modeling),"PLA, ABS, Bronze PLA and +8 materials",Agnee,280 x 140 x 140 mm
Creality Ender 3,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +20 materials",Creality,220 x 220 x 250 mm
Sharebot 42,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",Sharebot,250 x 220 x 200 mm
CoreI3,FDM (Fused Deposition Modeling),PLA,Pxmalion,220 x 220 x 220 mm 
M150,FDM (Fused Deposition Modeling),"PLA, ABS, Polycarbonate (PC) and +2 materials",Malyan,200 x 200 x 180 mm 
CR-X,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +2 materials",Creality,300 x 300 x 400 mm
Chiron,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +5 materials",Anycubic,400 x 400 x 450 mm 
B9Creator v1.2,DLP (Digital Light Processing),"Resin, Castable Resin, Tough Resin and +2 materials",B9Creations,104 x 75 x 203 mm
3D45,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",Dremel,254 x 152 x 170 mm 
S5,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +12 materials",Ultimaker,330 x 240 x 300 mm 
Renkforce RF500,FDM (Fused Deposition Modeling),"PLA, ABS, HIPS and +3 materials",Conrad,210 x 135 x 170 mm
Zyyx+,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +3 materials",Zyyx,265 x 225 x 195 mm
The BOX,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",BLB Industries,1500 x 1100 x 1500 mm
Inventor,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +10 materials",FlashForge,228  x  150 x  160 mm 
Original Prusa i3 MK2.5,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +6 materials",Prusa 3D,250 x 210 x 200 mm 
Micro+,FDM (Fused Deposition Modeling),"PLA, HIPS, Wood PLA",M3D,109 x 114 x 117 mm 
Promega,FDM (Fused Deposition Modeling),"PLA, ABS, HIPS",M3D,388 x 388 x 388 mm 
Crane,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +1 materials",M3D,230 x 230 x 250 mm
Pro,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +2 materials",M3D,177 x  177 x  190.5 mm 
RoboxPro,FDM (Fused Deposition Modeling),"PVA, PLA, ABS",CEL,210 x 300 x 400 mm
Robox,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +2 materials",CEL,210 x 150 x 100 mm 
Duplicator 5S,FDM (Fused Deposition Modeling),"PVA, PLA, ABS",Wanhao,305 x 205 x 575 mm
Pro2 Plus,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +20 materials",Raise3D,305 x 305 x 605 mm 
Funmat HT,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +8 materials",Intamsys,260 x 260 x 260 mm
Metal X,ADAM,"Copper, A2 Tool Steel, D2 Tool Steel and +1 materials",Markforged,300 x 220 x 180 mm
